date,USD_CHF,USD_EUR,USD_XAU,USD_SP500TR,USD_DAX,USD_SMIC
1999-12-30,1.5978,0.99542,,2021.4,,
2000-01-31,1.6434,1.0213,,1919.84,6693.04,5231.17
2000-02-29,1.654,1.0294,,1883.5,7426.22,5209.19
2000-03-31,1.6651,1.0468,,2067.76,7259.64,5568.31
2000-04-28,1.7292,1.1007,,2005.55,6736.33,5377.05
2000-05-31,1.6893,1.0749,,1964.4,6614.26,5787.19
2000-06-30,1.63,1.0465,,2012.83,6591.7,6020.43
2000-07-31,1.6745,1.0819,,1981.36,6646.06,6062.76
2000-08-31,1.7402,1.1228,278.3,2104.43,6427.19,5976.90
2000-09-29,1.7387,1.1409,273.6,1993.33,5958.56,5613.33
2000-10-31,1.8071,1.1881,264.9,1984.91,5956.94,5597.70
2000-11-30,1.7383,1.1515,270.1,1828.42,5533.94,5822.47
2000-12-29,1.637,1.0747,272.0,1837.37,5986.42,6301.65
2001-01-31,1.6466,1.0761,265.6,1902.55,6314.6,6204.91
2001-02-28,1.667,1.0813,266.8,1729.08,5741.46,5858.42
2001-03-30,1.7291,1.1322,257.9,1619.54,5149.22,5276.88
2001-04-30,1.7312,1.1266,264.0,1745.39,5560.55,5406.02
2001-05-31,1.7932,1.1792,265.3,1757.09,5192.72,5346.10
2001-06-29,1.7958,1.1792,270.6,1714.32,5137.7,5167.99
2001-07-31,1.725,1.1422,266.2,1697.45,5131.49,5088.19
2001-08-31,1.6559,1.0919,274.4,1591.18,4751.51,5095.44
2001-09-28,1.6166,1.0952,292.4,1462.69,3933.67,4768.79
2001-10-31,1.6238,1.106,279.5,1490.58,4122.18,4801.52
2001-11-30,1.6548,1.1238,273.9,1604.92,4440.21,4832.44
2001-12-28,1.6826,1.1347,278.7,1618.98,4547.55,4890.41
2002-01-31,1.7075,1.1578,282.1,1595.35,4411.48,4683.54
2002-02-28,1.706,1.1559,296.7,1564.59,4359.44,4774.43
2002-03-28,1.6816,1.1463,302.6,1623.43,4708.44,5090.58
2002-04-30,1.6231,1.1101,308.9,1525.0,4541.21,5220.35
2002-05-31,1.56,1.0653,326.5,1513.77,4522.95,5460.42
2002-06-28,1.4758,1.0025,313.5,1405.94,4371.63,5249.81
2002-07-31,1.4869,1.0222,303.2,1296.34,3619.78,4544.08
2002-08-30,1.4944,1.017,312.4,1304.86,3650.88,4566.47
2002-09-30,1.4818,1.0142,323.9,1163.04,2730.26,4212.53
2002-10-31,1.4835,1.0138,318.0,1265.41,3109.93,4353.87
2002-11-29,1.4862,1.0074,316.8,1339.89,3295.93,4493.82
2002-12-31,1.385,0.95356,347.6,1261.18,3033.51,4363.52
2003-01-31,1.3571,0.92456,368.3,1228.14,2972.04,4252.96
2003-02-28,1.3568,0.92747,350.2,1209.71,2746.23,3990.02
2003-03-31,1.3551,0.91785,335.9,1221.46,2640.81,3954.94
2003-04-30,1.3594,0.89839,339.1,1322.07,3274.79,4436.10
2003-05-30,1.2923,0.84588,364.5,1391.72,3526.13,4766.63
2003-06-30,1.3603,0.87512,346.0,1409.48,3680.16,4708.29
2003-07-31,1.3663,0.88355,354.0,1434.33,3947.55,4947.21
2003-08-29,1.4065,0.91516,375.7,1462.3,3807.62,4848.50
2003-09-30,1.322,0.85822,385.4,1446.77,3794.81,5079.25
2003-10-31,1.3342,0.86044,384.5,1528.62,4248.98,5200.34
2003-11-28,1.291,0.83375,396.8,1542.07,4492.89,5483.77
2003-12-31,1.2335,0.79177,415.7,1622.94,5007.97,5923.22
2004-01-30,1.2618,0.80749,402.2,1652.73,5026.19,6052.64
2004-02-27,1.2707,0.80528,396.4,1675.7,4989.77,6097.13
2004-03-31,1.2757,0.81806,427.3,1650.42,4714.45,5885.34
2004-04-30,1.2983,0.83703,387.0,1624.51,4761.13,6005.05
2004-05-31,1.2523,0.81981,394.0,1646.8,4783.32,6073.96
2004-06-30,1.254,0.82271,392.6,1678.83,4926.07,6057.92
