date,benzin_eur_pro_l,kohle_eur_pro_t,erdgas_eur_pro_mmbtu,erdgas_haushalt_eur_pro_kwh,strom_eur_pro_kwh,brot_eur,bier_eur,cola_eur,milch_eur,schwein_eur,rindfleisch_eur_pro_kg,huehnchen_eur_pro_kg,stahl_eur_pro_t,aluminium_eur_pro_t,kupfer_eur_pro_t,messing_eur_pro_t,eier_eur,kaese_eur
1990-03-31,1.13,44.0,3.26,,,,,,,,2.98,1.25,188.0,1754.0,2834.0,2364.0,,
1990-06-30,1.09,46.0,3.29,,,,,,,,2.9,1.27,189.0,1795.0,3114.0,2673.0,,
1990-09-30,1.22,50.0,3.46,,,,,,,,3.24,1.35,200.0,2223.0,3589.0,2938.0,,
1990-12-31,1.32,53.0,3.67,,,,,,,,3.33,1.38,212.0,2205.0,3390.0,2710.0,,
1991-03-31,1.17,51.0,4.33,,,,,,,,3.37,1.36,222.0,1922.0,3111.0,2478.0,,
1991-06-30,1.11,45.0,3.81,,,,,,,,2.98,1.19,196.0,1491.0,2632.0,2092.0,,
1991-09-30,1.12,44.0,3.35,,,,,,,,3.03,1.19,195.0,1410.0,2547.0,1997.0,,
1991-12-31,1.15,48.0,3.26,,,,,,,,3.23,1.26,209.0,1358.0,2797.0,2205.0,,
1992-03-31,1.12,48.0,3.08,,,,,,,,3.04,1.26,200.0,1499.0,2646.0,2151.0,,
1992-06-30,1.14,48.0,3.01,,,,,,,,2.87,1.26,201.0,1574.0,2719.0,2288.0,,
1992-09-30,1.17,53.0,3.42,,,,,,,,3.22,1.43,221.0,1732.0,3322.0,2715.0,,
1992-12-31,1.14,45.0,3.33,,,,,,,,3.19,1.36,209.0,1489.0,2783.0,2220.0,,
1993-03-31,1.12,39.0,3.29,,,,,,,,2.9,1.35,174.0,1421.0,2642.0,2085.0,,
1993-06-30,1.12,37.0,3.24,,,,,,,,3.22,1.47,176.0,1368.0,2255.0,1822.0,,
1993-09-30,1.09,36.0,3.08,,,,,,,,3.25,1.48,170.0,1356.0,2230.0,1756.0,,
1993-12-31,1.08,36.0,3.04,,,,,,,,3.01,1.4,169.0,1248.0,1936.0,1598.0,,
1994-03-31,1.06,35.0,2.72,,,,,,,,2.88,1.35,150.0,1413.0,2115.0,1708.0,,
1994-06-30,1.09,37.0,2.78,,,,,,,,2.84,1.51,156.0,1573.0,2516.0,1957.0,,
1994-09-30,1.11,41.0,3.08,,,,,,,,2.76,1.57,166.0,1888.0,3080.0,2333.0,,
1994-12-31,1.11,43.0,3.25,,,,,,,,2.76,1.46,168.0,2309.0,3518.0,2673.0,,
1995-03-31,1.12,50.0,3.52,,,,,,,,2.79,1.5,188.0,2546.0,3887.0,2898.0,,
1995-06-30,1.15,54.0,3.8,,,,,,,,2.49,1.62,199.0,2516.0,4046.0,3008.0,,
1995-09-30,1.12,56.0,3.82,,,,,,,,2.32,1.77,194.0,2511.0,4115.0,3021.0,,
1995-12-31,1.13,55.0,3.77,,,,,,,,2.6,1.79,195.0,2282.0,3991.0,2949.0,,
1996-03-31,1.15,52.0,3.63,,,1.9,0.65,0.75,0.63,4.09,8.3,3.88,200.0,2127.0,3423.0,2608.0,1.17,5.72
1996-06-30,1.15,50.0,3.74,,,1.9,0.65,0.75,0.63,4.1,8.33,3.9,193.0,1996.0,3183.0,2439.0,1.17,5.72
1996-09-30,1.17,50.0,3.64,,,1.91,0.65,0.75,0.63,4.15,8.43,3.95,196.0,1885.0,2584.0,2074.0,1.17,5.72
1996-12-31,1.2,46.0,3.77,,,1.91,0.65,0.75,0.63,4.18,8.48,3.97,192.0,1825.0,2751.0,2177.0,1.18,5.73
1997-03-31,1.15,41.0,3.39,,,1.92,0.66,0.75,0.63,4.18,8.48,3.97,178.0,1883.0,2857.0,2268.0,1.18,5.74
1997-06-30,1.11,40.0,3.14,,,1.92,0.66,0.75,0.63,4.24,8.61,4.03,172.0,1808.0,2858.0,2309.0,1.17,5.72
1997-09-30,1.1,39.0,2.9,,,1.93,0.66,0.75,0.63,4.3,8.73,4.09,163.0,1773.0,2457.0,2169.0,1.17,5.71
1997-12-31,1.11,38.0,2.95,,,1.93,0.66,0.75,0.63,4.31,8.74,4.09,168.0,1759.0,2129.0,1805.0,1.17,5.72
1998-03-31,1.05,35.0,2.83,,,1.93,0.66,0.75,0.63,4.29,8.72,4.08,167.0,1573.0,1829.0,1554.0,1.18,5.74
1998-06-30,1.04,33.0,2.74,,,1.93,0.66,0.76,0.63,4.28,8.68,4.06,169.0,1486.0,1888.0,1593.0,1.18,5.73
1998-09-30,1.04,31.0,2.63,,,1.94,0.66,0.76,0.63,4.26,8.64,4.04,172.0,1468.0,1822.0,1548.0,1.17,5.71
1998-12-31,1.03,31.0,2.53,,,1.94,0.66,0.76,0.63,4.2,8.53,3.99,182.0,1508.0,1817.0,1539.0,1.17,5.7
1999-03-31,1.02,29.0,2.2,,,1.94,0.66,0.76,0.63,4.17,8.46,3.96,152.0,1321.0,1555.0,1371.0,1.17,5.69
1999-06-30,1.06,27.0,1.98,,,1.94,0.66,0.76,0.62,4.14,8.4,3.93,144.0,1366.0,1534.0,1347.0,1.16,5.66
1999-09-30,1.12,28.0,2.23,,,1.93,0.66,0.76,0.62,4.13,8.39,3.93,147.0,1535.0,1788.0,1555.0,1.15,5.62
1999-12-31,1.14,26.0,2.6,,,1.93,0.66,0.76,0.62,4.12,8.37,3.92,141.0,1530.0,1773.0,1537.0,1.15,5.6
2000-03-31,1.16,24.0,3.33,,,1.93,0.66,0.76,0.61,4.12,8.36,3.91,139.0,1591.0,1739.0,1481.0,1.14,5.58
2000-06-30,1.15,24.0,3.36,,,1.93,0.66,0.76,0.61,4.13,8.38,3.92,134.0,1376.0,1621.0,1395.0,1.14,5.56
2000-09-30,1.17,23.0,3.59,,,1.93,0.66,0.76,0.61,4.15,8.42,3.94,129.0,1403.0,1678.0,1429.0,1.14,5.54
2000-12-31,1.16,25.0,3.86,,,1.94,0.67,0.76,0.61,4.18,8.48,3.97,127.0,1333.0,1626.0,1353.0,1.14,5.58
2001-03-31,1.14,29.0,4.2,,,1.96,0.67,0.77,0.62,4.31,8.76,4.1,137.0,1439.0,1610.0,1338.0,1.16,5.65
2001-06-30,1.13,29.0,3.78,,,1.98,0.67,0.77,0.64,4.5,9.14,4.28,129.0,1292.0,1423.0,1176.0,1.19,5.8
2001-09-30,1.13,30.0,3.4,,,2.0,0.67,0.77,0.66,4.53,9.19,4.3,135.0,1243.0,1326.0,1094.0,1.22,5.95
2001-12-31,1.07,27.0,3.09,,,2.02,0.67,0.77,0.66,4.51,9.16,4.29,134.0,1175.0,1271.0,1035.0,1.23,6.01
2002-03-31,1.08,24.0,2.62,,,2.04,0.67,0.77,0.66,4.49,9.12,4.27,127.0,1197.0,1350.0,1086.0,1.24,6.02
2002-06-30,1.14,25.0,2.69,,,2.04,0.67,0.78,0.66,4.47,9.07,4.24,139.0,1282.0,1525.0,1210.0,1.23,6.0
2002-09-30,1.16,22.0,2.96,,,2.05,0.68,0.78,0.65,4.44,9.02,4.22,144.0,1287.0,1489.0,1195.0,1.22,5.94
2002-12-31,1.17,25.0,3.36,,,2.05,0.69,0.78,0.65,4.43,8.98,4.2,148.0,1366.0,1569.0,1254.0,1.21,5.92
2003-03-31,1.24,27.0,3.98,,,2.06,0.69,0.78,0.65,4.41,8.95,4.19,173.0,1513.0,1802.0,1421.0,1.21,5.91
2003-06-30,1.2,27.0,4.63,,,2.06,0.69,0.77,0.65,4.4,8.92,4.17,183.0,1582.0,1881.0,1483.0,1.22,5.92
2003-09-30,1.22,29.0,4.52,,,2.07,0.7,0.78,0.65,4.39,8.91,4.17,181.0,1622.0,1981.0,1560.0,1.21,5.92
2003-12-31,1.26,37.0,4.73,,,2.07,0.7,0.78,0.66,4.4,8.93,4.18,193.0,1829.0,2493.0,1946.0,1.22,5.97
2004-03-31,1.29,53.0,4.78,,,2.07,0.7,0.78,0.66,4.39,8.9,4.17,234.0,2036.0,3369.0,2549.0,1.22,5.96
2004-06-30,1.33,68.0,4.79,,,2.07,0.71,0.78,0.65,4.38,8.89,4.16,229.0,2029.0,3374.0,2522.0,1.21,5.91
2004-09-30,1.41,71.0,5.29,,,2.07,0.71,0.78,0.65,4.38,8.89,4.16,231.0,2082.0,3473.0,2562.0,1.21,5.89
