period,coal_usd_mt,natgas_eur_usd_mmbtu,beef_usd_kg,chicken_usd_kg,aluminum_usd_mt,ironore_usd_mt,copper_usd_mt
1990M01,38.0,2.82,2.7847,1.054469746,1528.25,32.5,2366.64
1990M02,38.0,2.82,2.4573,1.07144532,1454.28,32.5,2360.16
1990M03,38.0,2.82,2.4839,1.109805708,1567.39,32.5,2625.61
1990M04,38.0,2.82,2.472,1.081807034,1525.55,32.5,2686.15
1990M05,40.5,2.82,2.48,1.080925186,1526.93,32.5,2741.95
1990M06,40.5,2.82,2.504,1.108262474,1565.79,32.5,2584.56
1990M07,40.5,2.82,2.5589,1.10341231,1570.96,32.5,2769.49
1990M08,40.5,2.82,2.6541,1.096137064,1782.02,32.5,2957.03
1990M09,40.5,2.82,2.6969,1.093050596,2066.53,32.5,3031.37
1990M10,40.5,2.82,2.5851,1.072988554,1945.7,32.5,2743.56
1990M11,40.5,2.82,2.5342,1.065713308,1617.5,32.5,2585.89
1990M12,40.5,2.82,2.5477,1.0471945,1522.44,32.5,2485.38
1991M01,40.5,3.44,2.5931,1.051383278,1515.18,34.76,2448.52
1991M02,40.5,3.41,2.7269,1.075413636,1504.6,34.76,2449.38
1991M03,39.5,3.33,2.5918,1.069681624,1496.0,34.76,2409.63
1991M04,39.5,3.47,2.6112,1.05601298,1391.86,34.76,2472.04
1991M05,39.5,3.37,2.6259,1.06483146,1296.05,34.76,2305.88
1991M06,39.5,3.29,2.7029,1.0471945,1275.15,34.76,2219.28
1991M07,39.5,3.0,2.6874,1.07144532,1296.78,34.76,2236.28
1991M08,39.5,2.98,2.6411,1.0471945,1256.45,34.76,2233.19
1991M09,39.5,2.97,2.7448,1.0471945,1211.81,34.76,2324.57
1991M10,39.5,2.71,2.7198,1.061744992,1150.03,34.76,2363.64
1991M11,39.5,2.7,2.7073,1.039257868,1134.8,34.76,2379.84
1991M12,39.5,2.7,2.6081,1.04168295,1097.55,34.76,2223.14
1992M01,39.5,2.57,2.5715,1.05380836,1177.07,33.1,2139.23
1992M02,39.5,2.5,2.5241,1.025589224,1266.83,33.1,2205.97
1992M03,39.5,2.58,2.4493,1.039257868,1280.47,33.1,2227.33
1992M04,39.5,2.47,2.3847,1.036832786,1317.05,33.1,2215.33
1992M05,39.5,2.49,2.3766,1.037714634,1306.79,33.1,2216.52
1992M06,39.5,2.5,2.3347,1.048076348,1275.55,33.1,2299.2
1992M07,39.5,2.55,2.3457,1.06483146,1313.05,33.1,2520.32
1992M08,39.5,2.56,2.4454,1.07695687,1305.05,33.1,2521.64
1992M09,39.5,2.57,2.4403,1.077838718,1269.61,33.1,2414.06
1992M10,37.25,2.63,2.5003,1.05601298,1173.78,33.1,2249.15
1992M11,35.0,2.64,2.5406,1.086657198,1159.05,33.1,2158.32
1992M12,35.0,2.64,2.5417,1.08577535,1207.1,33.1,2206.82
1993M01,35.0,2.76,2.3545,1.112892176,1206.76,29.09,2256.85
1993M02,31.0,2.74,2.3876,1.12545851,1201.85,29.09,2212.6
1993M03,31.0,2.75,2.5263,1.150370716,1151.33,29.09,2152.59
1993M04,31.0,2.68,2.5922,1.179692162,1108.53,29.09,1949.88
1993M05,31.0,2.68,2.6762,1.241862446,1123.96,29.09,1794.5
1993M06,31.0,2.68,2.7425,1.233043966,1165.3,29.09,1853.42
1993M07,31.0,2.66,2.8197,1.25001954,1202.13,29.09,1927.16
1993M08,31.0,2.65,2.8043,1.277136366,1172.14,29.09,1947.45
1993M09,31.0,2.62,2.7337,1.269420196,1115.38,29.09,1861.86
1993M10,31.0,2.62,2.6698,1.227311954,1087.1,29.09,1646.4
1993M11,31.0,2.62,2.6411,1.214304696,1039.81,29.09,1630.02
1993M12,31.0,2.6,2.4626,1.183219554,1094.3,29.09,1724.19
1994M01,31.0,2.47,2.4216,1.16403936,1174.59,26.47,1805.35
1994M02,31.0,2.36,2.4936,1.182337706,1269.93,26.47,1866.4
1994M03,29.5,2.36,2.6903,1.22246179,1289.03,26.47,1914.87
1994M04,29.5,2.36,2.6277,1.2345872,1278.72,26.47,1881.82
1994M05,31.4,2.36,2.3907,1.299403028,1322.59,26.47,2150.6
1994M06,33.6,2.36,2.2324,1.30844197,1400.58,26.47,2364.2
1994M07,33.1,2.42,2.1912,1.278238676,1492.42,26.47,2458.19
1994M08,33.1,2.46,2.1995,1.232162118,1455.36,26.47,2406.23
1994M09,33.1,2.48,2.2081,1.237453206,1569.22,26.47,2505.93
1994M10,33.1,2.56,2.1248,1.197770046,1698.05,26.47,2547.67
1994M11,33.1,2.57,2.1887,1.139127154,1892.59,26.47,2802.45
1994M12,36.1,2.56,2.2256,1.12986775,1878.31,26.47,2985.3
1995M01,37.1,2.66,2.127899224,1.12986775,2060.55,28.38,3008.93
1995M02,37.6,2.66,2.16162991,1.134056528,1916.15,28.38,2877.65
1995M03,38.35,2.65,2.044123664,1.14309547,1805.07,28.38,2924.04
1995M04,37.1,2.71,1.923310488,1.132733756,1849.0,28.38,2903.5
1995M05,38.77,2.71,1.752011514,1.153677646,1762.69,28.38,2773.31
1995M06,40.77,2.73,1.660519784,1.192919882,1780.05,28.38,2994.64
1995M07,41.05,2.8,1.633182496,1.24340568,1860.1,28.38,3075.67
1995M08,40.88,2.8,1.6865343,1.311087514,1888.32,28.38,3036.84
1995M09,40.93,2.78,1.76479831,1.336661106,1760.83,28.38,2915.52
1995M10,40.97,2.75,1.822338892,1.294552864,1674.32,28.38,2813.55
1995M11,39.59,2.75,1.937640518,1.31505583,1654.07,28.38,2977.36
1995M12,39.35,2.73,1.909862306,1.291245934,1656.74,28.38,2926.26
1996M01,39.37,2.75,1.8629039,1.28860039,1589.34,30.0,2616.41
1996M02,39.28,2.77,1.812418102,1.252885546,1591.55,30.0,2537.71
1996M03,39.01,2.67,1.720044524,1.215186544,1612.48,30.0,2561.02
1996M04,39.33,3.1,1.71519436,1.235028124,1587.23,30.0,2595.78
1996M05,38.2,2.81,1.701525716,1.329826784,1589.26,30.0,2658.26
1996M06,38.2,2.81,1.654126386,1.425066368,1482.48,30.0,2173.4
1996M07,38.4,2.78,1.684109218,1.460781212,1458.7,30.0,1985.57
1996M08,38.35,2.79,1.755318444,1.47048154,1463.36,30.0,2008.57
1996M09,38.1,2.79,1.745397654,1.47048154,1407.38,30.0,1941.45
1996M10,37.6,2.94,1.793899294,1.447994416,1336.34,30.0,1961.17
1996M11,35.7,2.96,1.767223392,1.451301346,1449.52,30.0,2230.86
1996M12,35.35,2.96,1.787285434,1.437191778,1500.29,30.0,2268.08
1997M01,35.23,2.89,1.765239234,1.41536604,1575.61,30.15,2434.93
1997M02,34.6,2.89,1.83865308,1.378769348,1580.01,30.15,2405.85
1997M03,34.5,2.83,2.04037581,1.362896084,1631.57,30.15,2421.29
1997M04,35.4,2.77,1.997606182,1.35143206,1561.44,30.15,2391.18
1997M05,35.73,2.74,1.897516434,1.342393118,1625.25,30.15,2514.33
1997M06,34.5,2.76,1.756420754,1.342393118,1567.55,30.15,2612.62
1997M07,35.0,2.67,1.80227685,1.35143206,1591.99,30.15,2450.46
1997M08,36.93,2.67,1.83865308,1.382517202,1710.58,30.15,2251.2
1997M09,37.15,2.7,1.788828668,1.39001291,1610.6,30.15,2107.3
1997M10,37.15,2.63,1.764577848,1.314614906,1607.86,30.15,2052.26
1997M11,33.6,2.66,1.834684764,1.268979272,1598.99,30.15,1917.45
1997M12,31.4,2.65,1.85298311,1.234146276,1530.51,30.15,1762.33
1998M01,31.4,2.65,1.815063646,1.2235641,1485.79,31.0,1688.45
1998M02,33.44,2.63,1.794119756,1.230398422,1465.56,31.0,1664.8
1998M03,31.88,2.61,1.791033288,1.254869704,1437.7,31.0,1747.98
1998M04,31.18,2.54,1.794119756,1.270302044,1418.16,31.0,1800.9
1998M05,30.28,2.51,1.778246492,1.302489496,1364.72,31.0,1732.53
1998M06,30.0,2.5,1.701305254,1.378769348,1307.24,31.0,1660.52
1998M07,30.0,2.4,1.671763346,1.484591108,1309.21,31.0,1651.04
1998M08,26.2,2.37,1.657212854,1.56197327,1310.9,31.0,1620.93
1998M09,27.09,2.33,1.636489426,1.566602972,1342.27,31.0,1647.64
1998M10,27.1,2.17,1.637150812,1.52449473,1304.06,31.0,1586.39
1998M11,26.1,2.15,1.659858398,1.47930002,1294.96,31.0,1573.95
1998M12,26.1,2.13,1.656992392,1.43079838,1249.06,31.0,1473.57
1999M01,26.1,2.02,1.706155418,1.387367366,1218.46,27.59,1431.18
1999M02,26.1,2.01,1.792576522,1.35032975,1186.85,27.59,1410.78
1999M03,26.1,1.95,1.757523064,1.3007258,1181.59,27.59,1378.35
1999M04,26.1,1.87,1.723571916,1.272286202,1278.2,27.59,1466.0
1999M05,26.1,1.89,1.727981156,1.31395352,1323.46,27.59,1511.16
1999M06,26.1,1.91,1.721146834,1.343936352,1315.31,27.59,1422.48
1999M07,26.1,2.0,1.780010188,1.347684206,1403.76,27.59,1640.0
1999M08,26.1,2.08,1.924853722,1.331810942,1431.32,27.59,1647.62
1999M09,26.1,2.2,1.870179146,1.343054504,1492.48,27.59,1750.34
1999M10,25.6,2.47,1.852762648,1.293450554,1474.41,27.59,1724.12
1999M11,25.1,2.51,1.927058342,1.2897027,1472.76,27.59,1727.55
1999M12,25.1,2.66,1.939183752,1.2897027,1554.48,27.59,1764.75
2000M01,25.1,3.36,1.949325004,1.283750226,1680.28,28.79,1843.98
2000M02,25.1,3.46,1.961670876,1.270522506,1670.27,28.79,1800.83
2000M03,25.1,3.51,1.983717076,1.26214495,1577.05,28.79,1739.39
2000M04,25.1,3.68,1.977103216,1.26214495,1457.14,28.79,1678.75
2000M05,25.6,3.55,1.986142158,1.273388512,1466.79,28.79,1785.62
2000M06,25.6,3.6,1.932569892,1.303371344,1506.31,28.79,1753.18
2000M07,25.6,3.96,1.899941516,1.317480912,1563.5,28.79,1799.36
2000M08,25.6,4.01,1.885831948,1.326519854,1527.63,28.79,1855.86
2000M09,27.15,4.03,1.811756716,1.36025054,1601.21,28.79,1960.41
2000M10,27.15,4.31,1.81991381,1.356502686,1500.24,28.79,1898.59
2000M11,27.15,4.39,1.96762335,1.3558413,1473.86,28.79,1795.11
2000M12,30.75,4.44,1.93014481,1.3558413,1565.41,28.79,1850.55
2001M01,32.1,4.65,1.925515108,1.356723148,1615.65,30.03,1787.5
2001M02,32.1,4.59,1.921987716,1.361793774,1604.36,30.03,1765.65
2001M03,32.6,4.57,1.981732918,1.3668644,1509.17,30.03,1738.77
2001M04,33.5,4.48,1.977103216,1.368187172,1496.91,30.03,1664.16
2001M05,33.8,4.36,2.007747434,1.389792448,1538.77,30.03,1682.21
2001M06,33.9,4.33,2.052942144,1.400815548,1466.13,30.03,1608.45
2001M07,34.0,3.75,2.122828598,1.416909274,1416.39,30.03,1525.21
2001M08,33.8,3.79,2.209690626,1.445789796,1377.08,30.03,1464.43
2001M09,32.8,3.79,2.359163862,1.465631376,1344.56,30.03,1426.33
2001M10,32.4,3.52,2.271419986,1.44843534,1282.5,30.03,1377.28
2001M11,29.4,3.46,2.283104472,1.418232046,1327.46,30.03,1427.73
2001M12,27.35,3.4,2.163393606,1.393981226,1344.63,30.03,1471.74
2002M01,27.35,3.06,2.207706468,1.387587828,1368.59,29.31,1503.96
2002M02,28.1,3.03,2.232839136,1.387146904,1369.34,29.31,1561.9
2002M03,27.8,2.97,2.348140762,1.382958126,1405.0,29.31,1604.88
2002M04,27.0875,2.81,2.253783026,1.3778875,1369.99,29.31,1590.33
2002M05,26.875,2.83,2.1164352,1.39662677,1343.3,29.31,1595.68
2002M06,24.9,2.9,2.05691046,1.40654756,1353.97,29.31,1647.53
2002M07,23.15,2.95,2.126796914,1.415586502,1338.09,29.31,1589.46
2002M08,22.25,3.01,2.09549131,1.413381882,1291.6,29.31,1479.55
